sep=,
INTELIGÊNCIA ARTIFICIAL,Introdução a IA,
INTELIGÊNCIA ARTIFICIAL,Redes Neurais,
INTELIGÊNCIA ARTIFICIAL,Estratégias de buscas em grafos,
INTELIGÊNCIA ARTIFICIAL,Sistemas evolutivos e algoritmos genéticos,algoritmos geneticos/
INTELIGÊNCIA ARTIFICIAL,Sistemas Fuzzy,Fuzzy/
Calendario Institucional,Calendário,Agenda/datas/dias/calendario/
Disciplina,Desenvolvimento de Aplicações com Banco de Dados,DABD/
Disciplina,Compiladores,
Disciplina,Inteligência Artificial,IA/
DABD,Introdução e Arquitetura,
DABD,Atividade de SQL,
DABD,Revisão de SQL,
DABD,Atividade Importação de Dados,
DABD,Iniciando JDBC,
COMPILADORES,Linguagens e Gramáticas,
COMPILADORES,Análise Léxica,
COMPILADORES,Fundamentos do Parser,
COMPILADORES,Transformações de GLCs,
COMPILADORES,Funções FIRST e FOLLOW,
Avaliações,Provas,Avaliações/provas/AV1/AV2/AV3/
